Joueur,Equipe,MJ,Min,Pts,Reb,As,Ro,Rd,2P%,3P%,TIRS%,LF%,TS%,St,Bl,To,Fo,Plus_Minus,Eval
Hanaiki Doom,Antibes U21,3,10.7,2.3,2.0,0.3,1.0,1.0,50.0,-,50.0,50.0,50.9,0.3,0.0,1.0,1.7,-7.7,2.7
Abdou Diop,Roanne U21,3,5.3,1.7,1.7,0.0,0.7,1.0,33.3,50.0,40.0,-,50.0,0.3,0.0,0.0,0.3,5.0,2.7
David Moresta,Denain U21,3,11.3,1.7,2.3,1.3,0.0,2.3,66.7,0.0,40.0,50.0,42.5,0.3,0.0,1.7,1.7,-2.7,2.7
Yoshua Mpaka,Poitiers U21,19,8.0,2.2,1.7,0.3,0.6,1.1,59.4,-,59.4,30.0,56.3,0.2,0.1,0.7,1.4,-1.1,2.6
Yanis Thiam,Nantes U21,18,16.4,4.8,1.9,0.9,0.5,1.4,26.8,30.0,28.4,60.0,36.8,0.3,0.3,1.1,1.0,0.1,2.5
Deyaan Moutouallaguin-Clain,Aix-Maurienne U21,22,13.0,3.2,1.9,0.3,0.5,1.5,40.9,30.0,36.5,72.7,45.0,0.1,0.1,0.9,1.1,-0.6,2.5
Benjamin Belami,Aix-Maurienne U21,21,9.5,2.4,0.8,1.0,0.2,0.6,44.1,20.0,38.6,83.3,49.1,0.5,0.0,1.0,1.6,0.3,2.5
Noé Diallo,Caen U21,4,14.0,1.5,1.2,2.2,0.5,0.8,42.9,0.0,37.5,-,37.5,0.0,0.0,1.2,2.0,-2.5,2.5
Adrien Roman-Charmois,Quimper U21,15,10.7,2.3,1.7,0.2,0.4,1.3,45.8,25.0,40.6,54.5,46.1,0.5,0.1,0.7,1.9,-2.4,2.4
Paolo Romain,Rouen U21,23,11.8,1.7,1.5,1.3,0.7,0.8,38.5,17.5,22.6,64.3,33.8,0.8,0.0,1.0,1.2,-3.3,2.4
Noah Georges,JA Vichy U21,3,13.3,4.3,1.7,0.7,0.3,1.3,40.0,15.4,22.2,75.0,32.9,1.0,0.0,0.3,3.7,7.3,2.3
Mattias Szanyiel,JA Vichy U21,21,10.4,3.1,1.5,0.7,0.4,1.1,46.4,25.6,33.8,60.0,43.1,0.4,0.0,1.1,1.1,-2.1,2.3
Julien Chery,Rouen U21,12,6.3,1.8,1.1,0.6,0.3,0.8,33.3,31.6,31.8,100.0,48.1,0.4,0.1,0.4,1.4,0.3,2.3
Marvynn Traore,Blois U21,8,7.4,3.0,0.5,0.4,0.1,0.4,81.8,14.3,55.6,42.9,56.9,0.2,0.1,0.5,1.0,0.8,2.2
Arthur Perret,Saint-Chamond U21,6,10.3,2.5,0.5,1.5,0.2,0.3,50.0,18.2,31.6,20.0,35.4,0.2,0.5,0.2,2.0,1.8,2.2
Elimane Sene,Nantes U21,6,7.0,1.8,1.0,0.3,0.0,1.0,60.0,33.3,50.0,100.0,61.9,0.3,0.0,0.7,0.7,-0.5,2.2
