Joueur,Equipe,MJ,Min,Pts,Reb,As,Ro,Rd,2P%,3P%,TIRS%,LF%,TS%,St,Bl,To,Fo,Plus_Minus,Eval
Charli Laversenne,Toulouse,6,3.7,1.3,0.2,0.7,0.0,0.2,50.0,50.0,50.0,-,66.7,0.2,0.0,0.3,0.3,-2.7,1.5
Namory Boundy,Metz BC,19,12.8,2.3,1.4,0.3,0.2,1.2,33.3,20.5,25.8,100.0,32.9,0.3,0.2,0.6,1.8,-4.7,1.4
Louis Laroche,Salon-de-Provence,5,4.2,2.2,0.2,0.0,0.0,0.2,80.0,25.0,55.6,-,61.1,0.0,0.0,0.2,0.4,0.8,1.4
Babacar Diagne,Salon-de-Provence,12,5.8,1.4,0.4,0.7,0.2,0.2,46.7,50.0,47.1,-,50.0,0.3,0.0,0.7,0.4,-2.0,1.4
Fallou Dieng,Chartres,23,7.0,1.7,1.0,0.0,0.3,0.8,45.7,-,45.7,53.8,47.9,0.1,0.1,0.6,1.4,-4.1,1.3
Warren Bouraima,Fos-sur-Mer,22,8.0,2.0,0.5,0.6,0.0,0.5,50.0,35.7,44.1,47.6,52.0,0.1,0.0,0.8,1.5,-1.0,1.2
Younes Beldjillali,Toulouse,4,4.0,1.2,1.2,0.2,0.2,1.0,50.0,0.0,33.3,60.0,48.1,0.0,0.0,0.5,1.5,-2.8,1.2
Bryan N'Goli,Fos-sur-Mer,4,2.2,0.5,0.5,0.5,0.2,0.2,100.0,-,100.0,-,100.0,0.0,0.0,0.2,0.0,-2.0,1.2
Timofey Andreev,Tours,4,1.8,0.5,0.2,0.5,0.0,0.2,100.0,-,100.0,-,100.0,0.0,0.0,0.0,0.2,-0.2,1.2
Antoine Pansa,Pôle France,15,8.4,1.3,1.0,0.3,0.5,0.5,50.0,25.0,40.0,100.0,46.5,0.1,0.2,1.0,0.7,-2.9,1.1
Togguy Bryan Alves,Vitré,14,4.1,1.2,0.7,0.1,0.2,0.5,50.0,33.3,41.2,-,50.0,0.1,0.0,0.3,0.4,-1.8,1.1
Elysio Zenon,Vitré,19,4.5,0.6,1.0,0.2,0.5,0.5,40.0,16.7,31.2,25.0,33.8,0.1,0.1,0.2,1.1,-1.1,1.1
Arthur Merignat,Fos-sur-Mer,2,2.5,1.5,0.0,0.0,0.0,0.0,-,50.0,50.0,-,75.0,0.0,0.0,0.0,0.5,-3.0,1.0
Charles Gnagbi,Levallois,11,4.1,1.0,0.5,0.1,0.2,0.3,57.1,16.7,38.5,-,42.3,0.4,0.0,0.2,0.6,-1.3,1.0
Djibril Sinitambirivoutin,Boulogne-sur-Mer,2,2.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,100.0,34.7,0.0,0.0,0.0,0.5,0.0,1.0
Yegor Yegorov,Angers,5,4.0,0.8,0.8,0.0,0.0,0.8,33.3,-,33.3,100.0,51.5,0.2,0.0,0.4,1.6,-1.2,1.0
Raphael Cristini,Lorient,3,3.0,0.7,0.3,0.3,0.3,0.0,50.0,-,50.0,-,50.0,0.3,0.0,0.3,0.3,3.3,1.0
James Atta Bessiom,Angers,7,4.7,1.3,0.4,0.1,0.1,0.3,75.0,25.0,50.0,-,56.2,0.0,0.0,0.4,0.6,-1.1,0.9
Eliott Rossignol,Rennes,8,2.0,0.8,0.5,0.0,0.4,0.1,66.7,0.0,50.0,100.0,61.5,0.0,0.0,0.1,0.5,-0.9,0.9
Jean Para,Salon-de-Provence,7,2.3,0.7,0.3,0.1,0.0,0.3,-,100.0,100.0,100.0,133.0,0.0,0.0,0.3,0.4,0.0,0.9
Baptiste Poncet Le Berre,Rennes,15,7.5,1.3,0.5,0.4,0.1,0.5,50.0,11.1,31.6,46.7,39.1,0.3,0.0,0.4,0.9,-0.7,0.8
Tidiane Naham,Angers,4,9.2,1.0,0.2,1.2,0.2,0.0,0.0,0.0,0.0,66.7,30.1,0.0,0.0,0.2,1.5,-6.5,0.8
Ilan Germain,Salon-de-Provence,3,2.7,0.7,0.3,0.0,0.0,0.3,100.0,0.0,33.3,-,33.3,0.3,0.0,0.0,0.0,-4.7,0.7
Quentin Doumaye,Pôle France,6,13.7,1.5,0.8,1.2,0.3,0.5,20.0,25.0,23.1,33.3,31.4,0.5,0.0,1.5,1.3,-11.3,0.5
